coffee,origin,flavour,region,variety,process,roast,roaster,roaster_name
Espresso Blend,not disclosed,"A pungent musty note reads charitably as dark chocolate in some cups, with a bit of crisp, apple-like complication. In other cups it reads mainly as musty. Best feature is a fullish though slightly rough mouthfeel. The chocolate suggestions fade quickly in a drying finish. We deducted three rating points from the raw score for the uneven cups and the musty suggestions.",,,others,dark,Hevla Coffee,
100% Colombia,Colombia,Smoky paper was our first descriptor for this coffee; we upgraded to sour wood rounded by a molasses-like sweetness that at least hinted at good things,,,others,dark,HealthWise Gourmet Low Acid Coffee,
Guatemala Dark Roast,Guatemala.,"Roundly and richly smoky, with charred wood and walnut notes and faint hints of flowers, chocolate and perhaps, not unpleasantly, rubber. Dullish acidity; full but slightly rough-textured mouthfeel. Chocolate and charred wood carry into a sweet-toned but drying finish.",,,others,dark,Puroast,
French Roast,not disclosed,"Charred wood with a backgrounded dark chocolate sweetness dominates in aroma. The dark chocolate character intensifies in the cup, complicated by a hint of orangy fruit. Lean but smooth mouthfeel; sweetly smoky in the finish.",,,others,dark,Tully's Coffee,
Espresso Roast, Mexico,"Roast-dominated profile. Charred wood rounds toward dark chocolate in aroma and cup. Hints of cardamom and flowers. Roast-muted acidity; full though rather rough mouthfeel. Chocolate persists pleasantly in a bittersweet, slightly drying finish.","Oaxaca State,",,others,dark,Simpatico Nice Coffee,
Sumatra Blue Batak, Indonesia,"Rich, pungent, grapefruit-like citrus dominates aroma and cup, with dark chocolate, berry and cedar complication. Round, crisp, balanced acidity; leanish mouthfeel. Sweet-toned but drying finish.","Northern Sumatra,",,others,dark,Peet's Coffee & Tea,
Brazil Cafe Zinho Esperanza Honey, Brazil.,"Sweetly crisp, delicate. Cedar, honey, red apple, cocoaish chocolate, a hint of flowers in aroma and cup. Gentle acidity; lightly syrupy mouthfeel. Cocoa and apple carry into a sweet, slightly drying finish.","Cerrado growing region, Minas Gerais State,",,others,medium,Water Avenue Coffee Company,
Colombia Granja La Esperanza Geisha, Colombia.,"Crisply lush with floral notes of startling complexity. Ripe lemon, cocoa, moist pipe tobacco, and floral notes that range from dry lavender through a spicy rose to a heavy-scented honeysuckle. Balanced acidity; buoyant, silky mouthfeel. Rich, deep, flower-saturated finish.","Trujillo, Valle del Cauca,",,others,medium,Equator Coffees & Teas,
Guatemala El Injerto Pacamara, Guatemala.,"The tartly sweet, lemony berry note associated with some of the world’s finest coffees is particularly dominant here, a complexly layered sensation that combines suggestions of ripe citrus, blackberry, fresh-cut fir, cocoa and bracing, bitterish flowers. Delicate but rich acidity; very smooth, silky mouthfeel. The finish is sweet-toned with a slightly drying mouthfeel.","Huehuetenango growing region,",,others,medium,Willoughby's Coffee & Tea,
Rusty’s Hawaiian Red Caturra Natural," southwestern corner of the ""Big Island"" of Hawaii.","Very sweet, lushly bright dried-in-the-fruit profile. Flowers and a gently tart cherry in aroma and cup with rich, layered complication","Ka'u growing district,",,others,medium,Willoughby's Coffee & Tea,
Colombia Primavera COE First Place Winner, southern Colombia,"Honey and sweet night flowers balanced by a gently lemony tartness and pungent, fresh-cut cedar. Pronounced but roundly balanced acidity; syrupy mouthfeel. Rich, resonant short finish simplifies very slightly in the long.","San Agustín growing region, Huila Department,",,others,medium,Equator Coffees & Teas,
Peaberry Medium Roast, Hawaii.,"Delicate, sweetly bright, refreshing. Fresh-cut fir, almond-like nut and the pure, sweetly tart flavor of coffee fruit in aroma and cup. Softly brisk, floral-toned acidity; silky to lightly syrupy mouthfeel. A hint of cocoa that emerges in the cup quietly dominates a crisply sweet finish.","Holualoa, North Kona growing district,",,others,medium,Hula Daddy,
DTS8 Espresso Classic,not disclosed,"Evaluated as espresso. Sweetly pungent. Dark chocolate, slightly scorched cedar, and a lush, coconut-like fruit in aroma and small cup. Full, syrupy mouthfeel. Sweetly chocolaty short finish but mildly drying in the long. Excellent presence in two parts milk, where chocolate, cedar and fruit all persist.",,,others,dark,DTS8 Coffee,
Haiti, Haiti.,"A tactful darker roast influences the profile. Deep, pungently sweet-toned aroma","Thiotte,",,others,medium,Café Xaragua Single Origin Coffee,
Guatemala El Diamante, Guatemala.,"Deep, round, sweet-toned, yet gently crisp. Distinct almond notes, milk chocolate, date-like fruit in aroma and cup. Rich, well-contexted acidity; full, syrupy mouthfeel. The fruit turns banana-like in a resonant finish.","San Pedro Necta, Huehuetenango growing region,",,others,medium,Temple Coffee and Tea,
Kenya Karinga,South-central Kenya.,"The dry, tartly sweet fruit sensation characteristic of the best Kenya coffees unfurls with pleasing, shape-shifting complexity",,,others,medium,Wonderstate Coffee,
Honey Pot Espresso, Panama.,"Evaluated as espresso. Rich, sweetly tart, very complex in the small cup","Alto Quiel, Boquete,",,others,medium,Kuma Coffee,
Ethiopia Tchembe,Southern Ethiopia,Unusual profile,,,others,medium,Temple Coffee and Tea,
Tierras Altas Premium, Colombia.,"Delicately complex aroma and flavor. Floral top notes, distinct milk chocolate, a hint of cedar, with a clean fruit note that suggests pear in the aroma and lemon in the cup. Brisk acidity, silky mouthfeel. Flavor simplifies in a rich though drying finish.","Risaralda Department,",,others,medium,Café Flor de Apia,
Dominican Republic Green Triangle, Dominican Republic,"Balanced, sweetly crisp. Floral-toned peach and a tart, mandarin orange dominate, rounded by a backgrounded nut-toned chocolate. Brisk, sweet-toned acidity; silky mouthfeel. The chocolate suggestion carries into a clean finish.","Lagulito,",,others,medium,Equator Coffees & Teas,
Kenya Rianjue AA, south-central Kenya.,"Delicately bright, gently balanced","Kirinyaga East District,",,others,medium,Temple Coffee and Tea,
Peru La Prosperidad Special Reserve Fair Trade, Peru.,"Balanced, lyric coffee. Gently pungent fir rounded by fruit notes (blackberry, plum) in aroma and cup. Soft acidity; lively, lightly syrupy mouthfeel; sweet-toned, cocoaish finish. A very slight grassy or hay-like note emerges as the cup cools.","Cajamarca growing region,",,others,medium,Green Mountain Coffee,
Our Blend Fair Trade Certified,not disclosed,Sweetly balanced and round,,,others,medium,Green Mountain Coffee,
Mocha Java, Indonesia.,"Intense aromatic complex carries in layered richness from aroma to finish. Cocoa, moist earth and leather, plum, sweetly pungent grapefruit; but you will doubtless find more. Crisp, integrated acidity; buttery mouthfeel. Long, sweet-toned, flavor-saturated finish.","East Africa and Java,",,others,medium,Green Mountain Coffee,
Ka’u Coffee Natural Dried Red Caturra," southwestern corner of the ""Big Island"" of Hawaii.","Brandy, mint, cocoa and apricot in a quiet but clean dried-in-the-fruit profile. Tart, apple-toned acidity; lightly syrupy mouthfeel. Some flavor persists in the simple, savory-sweet finish.","Ka'u growing district,",,others,medium,Rusty's Hawaiian Coffee,
Honduras Finca El Gringacho Yellow Catuai, Honduras.,"Ripe, balanced cup. Cocoaish chocolate, lemon, peach, a hint of fir in aroma and cup. Crisply delicate, rather juicy acidity; silky but lean mouthfeel. The dominant cocoa note carries into a slightly drying finish.","Santa Barbara,",,others,medium,OQ Coffee Co.,
Guatemala El Injerto Maragogype, Guatemala.,"Smooth, quietly complex","Huehuetenango growing region,",,others,light,Bird Rock Coffee Roasters,
Nicaragua Yellow Catuai Viennese Roast, Nicaragua,"Pungent, deep, rich","Madrid Department,",,others,medium,Las Chicas Del Café,
Honduras Las Penitas II, Honduras.,"Pungent, sweetly tart","Santa Barbara,",,others,medium,Gimme! Coffee,
Organic Ethiopia Yirgacheffe Biloya, southern Ethiopia.,Delicately complex,"Gedeo Zone,",,others,medium,Badbeard's Microroastery,
Panama Finca La Valentiina Geisha, western Panama.,Sweet-toned and honeyish with peach and floral notes balanced by tart fruit,"Horqueta, Volcan growing region,",,others,medium,PT's Coffee Roasting Co.,
Ethiopia Gedeo Microlot, southern Ethiopia.,"Peachy, strawberryish fruit is balanced by pungent aromatic wood – cedar, pine – in both aroma and cup. Chocolaty hints. Sweet-toned, brandyish acidity; syrupy mouthfeel. Rich short finish; flavor fades in the long and a very slight salty hint emerges.","Gedeo Zone,",,others,medium,Lone Pine Coffee Roasters,
Ethiopia Gedeo Natural Process, southern Ethiopia.,"Lushly sweet and honeyish but very complex across a range of sensation. On the sweet side, plum, blueberry and citrus flower; on the pungent, pine and tart lemon. A minty, brandyish dark chocolate fills in the middle. Balanced, juicy acidity; syrupy yet lively mouthfeel. Simplifies just a bit in the finish, though a chocolaty sweetness manages to soften a lean toward drying astringency in the long.","Gedeo Zone,",,others,medium,Coffea Roasterie,
El Salvado Finca Ayatepeque Natural-Processed Pacamara, El Salvador.,"Deep, very complex dried-in-the-fruit profile. Fresh fruit notes – tart coffee fruit, red apple, peach – are enveloped in a honeyish sweetness and deepened by suggestions of brandy, fir and just a hint of freshly fallen, composting leaves. Ripely balanced acidity; impressively syrupy mouthfeel. Clean, flavor-saturated finish.","Santa Ana Department,",,others,light,Topeca Coffee Roasters,
Nicaragua Bourbon City Roast, Nicaragua,"Soft, round, balanced. Quiet aroma","Madrid Department,",,others,medium,Las Chicas Del Café,
Guatemala Hanupu, Guatemala.,"Delicately bright, honeyish, refreshing. Honey, violet-like flowers, sweetly tart berry in aroma and in cup, where a hint of cocoa complicates. Gently bright acidity; silky mouthfeel. Bittersweet, cocoa-toned finish.","Antigua growing region,",,others,medium,Temple Coffee and Tea,
Panama Geisha Aroma Roast, Panama,"Deep, sweet night flowers, lemon and grapefruit and backgrounded cocoaish dark chocolate in aroma and cup. In the cup a savory hint emerges","Chiriqui Province,",,others,medium,Simon Hsieh's Aroma Roast Coffees,
Guatemala Pandora Pacamara Medium-Light Roast, northwestern Guatemala.,"Impressively complex in both structure (sweet, bitter, savory) and aromatics. Pungently rich aroma","Huehuetenango growing region,",,others,medium,Cafe de Impression,
Starlight Blend,not disclosed,"Intense sweetness suggesting honey and dried dates supports an impressive, layered complexity",,,others,medium,Caribou Coffee,
Garden Espresso Blend,Colombia; El Salvador; Panama.,Evaluated as espresso. Crisply complex from aroma to finish,,,others,medium,Cafe de Impression,
Medium Roast Yellow Bourbon Pulped Natural, south-central Brazil.,Richly pungent in aroma and cup,"Mogiana growing region, Sao Paulo State,",,others,medium,Carvalho Coffee,
Colombia Tolimas, central Colombia,"Classically pure, brightly balanced profile. Honey, flowers, ripe lemon, with a rounding hint of cocoa in aroma and cup. Sweet, juicy acidity; syrupy mouthfeel. Flavor may fade a bit in the finish but the poised, complete structure of the coffee rings on.","Tolima Department,",,others,medium,Turnstile Coffee Roasters,
Kenya Nyeri AB Gichatha-ini Signature Series, Kenya.,"Pure, complete, resonantly complex. Rich, grapefruity citrus, peach, honeyish flowers in aroma and cup. Ripely citrusy acidity; silky mouthfeel. Honey in particular carries into a long, resonantly flavor-saturated finish.","Nyeri,",,others,medium,Wood-Fire Roasted Coffee,
Kenya AA Nyeri Ndiaini Espresso, Kenya.,"Evaluated as espresso. Intense, multidimensional citrus in the aromatics","Nyeri County,",,others,medium,JBC Coffee Roasters,
Ethiopia Harrar, Indonesia.,"Intense aroma and flavor dominated by deep, jasmine-like flowers and tartly sweet fruit","Harrar region of eastern Ethiopia; east Java,",,others,medium,Conscious Cup Coffee Roasters,
Ethiopia Yirgacheffe Koke Coop FTO, southern Ethiopia.,"Evaluated as espresso. Fresh-cut fir, cedar and orange-like citrus in the delicate aroma. Lightly syrupy body. Intense flavor","Yirgacheffe growing region,",,others,medium,JBC Coffee Roasters,
Guatemala Quiche Chajulense FTO Espresso, Guatemala.,Evaluated as espresso. Rich aromatics,"Quiche Department,",,others,medium,JBC Coffee Roasters,
Special Roast,not disclosed,"Woody and vaguely sweet with a background salty mildew that could perhaps be charitably interpreted as spice. Flat with no brightness whatsoever; lean mouthfeel. The finish is sweet but empty and astringent. As the cup cools the musty, mildewy sharpness intensifies. Owing to the intensity of the mildewy taint we deducted three points from our already low rating.",,,others,dark,Folgers,
Premium Drip Coffee,not disclosed,"Astoundingly under-roasted and woody. Sweet-toned wood, peanut, perhaps a hint of flowers in the aroma. In the cup nothing but salty, bitterly sour wood and peanut skins (the skins, not the nuts). Somewhere amid all of that a tiny hint of flowers shimmers on. Plumps up just a bit in the finish, though the salty-sour sensations continue to dominate.",,,others,medium,Lavazza,
Organic Premium,not disclosed,"Sweet-toned and pungent in the nose, with composty, prune-like fruit and bitterish wood notes. Retains the fruit and wood hints in the cup, but turns more aggressively bitterish and sour. Thin, leanish mouthfeel. Heavily astringent in the finish.",,,others,dark,Yuban,
100% Colombian,Colombia.,"Disappointing for a 100% Colombian Arabica, even a Colombia presented in a roast-and-ground, canned format. Woody aroma with some pruny sweetness. Flat acidity, leanish mouthfeel. In the cup the wood persists and the fruit turns composty and unpleasantly fermented. Flat, astringent finish.",,,others,dark,Folgers,
House Blend,not disclosed,"Woody nut rounded by a cherryish, rather composty dark-chocolate sweetness. Muted, slightly bitterish acidity; lean but smooth mouthfeel. Some nut and chocolate carry into a heavyish, astringent finish.",,,others,dark,Maxwell House,
